Pointer Name,Target Data Type,DataStructType
FuncDef635 *,FuncDef635,FunctionDefinition
FuncDef636 *,FuncDef636,FunctionDefinition
FuncDef637 *,FuncDef637,FunctionDefinition
FuncDef638 *,FuncDef638,FunctionDefinition
FuncDef639 *,FuncDef639,FunctionDefinition
FuncDef640 *,FuncDef640,FunctionDefinition
FuncDef641 *,FuncDef641,FunctionDefinition
FuncDef642 *,FuncDef642,FunctionDefinition
FuncDef643 *,FuncDef643,FunctionDefinition
FuncDef644 *,FuncDef644,FunctionDefinition
FuncDef645 *,FuncDef645,FunctionDefinition
FuncDef646 *,FuncDef646,FunctionDefinition
FuncDef647 *,FuncDef647,FunctionDefinition
FuncDef648 *,FuncDef648,FunctionDefinition
FuncDef649 *,FuncDef649,FunctionDefinition
FuncDef650 *,FuncDef650,FunctionDefinition
FxlineConfig_ *,FxlineConfig_,Structure
GXFogAdjTable *,GXFogAdjTable,TypeDef
GXTexObj *,GXTexObj,TypeDef
GXTexRegion *,GXTexRegion,TypeDef
GXTlutObj *,GXTlutObj,TypeDef
HeapCheck *,HeapCheck,Structure
HeapCheck * *,HeapCheck *,Pointer
Item_set_pos_data *,Item_set_pos_data,Structure
J2DGrafContext *,J2DGrafContext,Structure
J2DGrafContext__vtable *,J2DGrafContext__vtable,Structure
J2DOrthoGraph *,J2DOrthoGraph,Structure
J2DPane *,J2DPane,Structure
J2DPane__vtable *,J2DPane__vtable,Structure
J2DPicture *,J2DPicture,Structure
J2DScreen *,J2DScreen,Structure
J2DScrnBlockHeader *,J2DScrnBlockHeader,Structure
J2DTextBox *,J2DTextBox,Structure
J3DAlphaComp *,J3DAlphaComp,TypeDef
J3DAnmBase *,J3DAnmBase,Structure
J3DAnmClusterFull *,J3DAnmClusterFull,Structure
J3DAnmClusterFullData *,J3DAnmClusterFullData,Structure
J3DAnmClusterKey *,J3DAnmClusterKey,Structure
J3DAnmClusterKeyData *,J3DAnmClusterKeyData,Structure
J3DAnmColor *,J3DAnmColor,Structure
J3DAnmColorFull *,J3DAnmColorFull,Structure
J3DAnmColorFullData *,J3DAnmColorFullData,Structure
J3DAnmColorKey *,J3DAnmColorKey,Structure
J3DAnmColorKeyData *,J3DAnmColorKeyData,Structure
J3DAnmKeyTableBase *,J3DAnmKeyTableBase,Structure
J3DAnmKeyTableBase[4] *,J3DAnmKeyTableBase[4],Array
J3DAnmTevRegKey *,J3DAnmTevRegKey,Structure
J3DAnmTevRegKeyData *,J3DAnmTevRegKeyData,Structure
J3DAnmTexPattern *,J3DAnmTexPattern,Structure
J3DAnmTexPatternFullData *,J3DAnmTexPatternFullData,Structure
J3DAnmTextureSRTKey *,J3DAnmTextureSRTKey,Structure
J3DAnmTextureSRTKeyData *,J3DAnmTextureSRTKeyData,Structure
J3DAnmTransform *,J3DAnmTransform,Structure
J3DAnmTransform * *,J3DAnmTransform *,Pointer
J3DAnmTransformFull *,J3DAnmTransformFull,Structure
J3DAnmTransformFullData *,J3DAnmTransformFullData,Structure
J3DAnmTransformFullTable *,J3DAnmTransformFullTable,Structure
J3DAnmTransformKey *,J3DAnmTransformKey,Structure
J3DAnmTransformKeyData *,J3DAnmTransformKeyData,Structure
J3DAnmTransformKeyTable *,J3DAnmTransformKeyTable,Structure
J3DAnmVisibilityFull *,J3DAnmVisibilityFull,Structure
J3DAnmVisibilityFullData *,J3DAnmVisibilityFullData,Structure
J3DAnmVtxColorFull *,J3DAnmVtxColorFull,Structure
J3DAnmVtxColorFullData *,J3DAnmVtxColorFullData,Structure
J3DAnmVtxColorKey *,J3DAnmVtxColorKey,Structure
J3DAnmVtxColorKeyData *,J3DAnmVtxColorKeyData,Structure
J3DBlend *,J3DBlend,TypeDef
J3DBlend *,J3DBlend,Structure
J3DCallBackPacket *,J3DCallBackPacket,Structure
J3DClusterBlock *,J3DClusterBlock,Structure
J3DColorBlock *,J3DColorBlock,Structure
J3DColorBlockLightOn *,J3DColorBlockLightOn,Structure
J3DColorBlock__vtbl *,J3DColorBlock__vtbl,Structure
J3DColorChan *,J3DColorChan,Structure
J3DDeformData *,J3DDeformData,Structure
J3DDisplayListObj *,J3DDisplayListObj,Structure
J3DDrawBlock *,J3DDrawBlock,Structure
J3DDrawBuffer *,J3DDrawBuffer,Structure
J3DDrawBuffer * *,J3DDrawBuffer *,Pointer
J3DDrawMtxData *,J3DDrawMtxData,Structure
J3DDrawPacket *,J3DDrawPacket,Structure
J3DEnvelopBlock *,J3DEnvelopBlock,Structure
J3DFog *,J3DFog,Structure
J3DFrameCtrl *,J3DFrameCtrl,Structure
J3DGXColor *,J3DGXColor,Structure
J3DGXColorS10 *,J3DGXColorS10,Structure
J3DIndBlock *,J3DIndBlock,Structure
J3DIndTevStage *,J3DIndTevStage,Structure
J3DIndTexCoordScale *,J3DIndTexCoordScale,Structure
J3DIndTexMtx *,J3DIndTexMtx,Structure
J3DIndTexOrder *,J3DIndTexOrder,Structure
J3DJoint *,J3DJoint,Structure
J3DJoint * *,J3DJoint *,Pointer
J3DJointBlock *,J3DJointBlock,Structure
J3DJointFactory *,J3DJointFactory,Structure
J3DLightObj *,J3DLightObj,Structure
J3DMatColorAnm *,J3DMatColorAnm,Structure
J3DMatPacket *,J3DMatPacket,Structure
J3DMaterial *,J3DMaterial,Structure
J3DMaterial * *,J3DMaterial *,Pointer
J3DMaterialAnm *,J3DMaterialAnm,Structure
J3DMaterialBlock *,J3DMaterialBlock,Structure
J3DMaterialBlock_v21 *,J3DMaterialBlock_v21,Structure
J3DMaterialDLBlock *,J3DMaterialDLBlock,Structure
J3DMaterialTable *,J3DMaterialTable,Structure
J3DModel *,J3DModel,Structure
J3DModel * *,J3DModel *,Pointer
J3DModel *[2] *,J3DModel *[2],Array
J3DModelData *,J3DModelData,Structure
J3DModelData * *,J3DModelData *,Pointer
J3DModelHierarchy *,J3DModelHierarchy,Structure
J3DModelHierarchy * *,J3DModelHierarchy *,Pointer
